,instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
63322,177665,694,CIPLA,CIPLA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63323,406273,1587,CKPLEISURE-SM,,0.0,,0.0,0.05,4000,EQ,NSE,NSE
63324,5743617,22436,CKPPRODUCT-SZ,,0.0,,0.0,0.05,3000,EQ,NSE,NSE
63325,5179649,20233,CLEDUCATE-BE,CL EDUCATE,0.0,,0.0,0.05,1,EQ,NSE,NSE
63326,183041,715,CLNINDIA,CLARIANT CHEMICALS (INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63327,4898049,19133,CMICABLES,CMI,0.0,,0.0,0.05,1,EQ,NSE,NSE
63328,24577,96,CMMIPL-SM,,0.0,,0.0,0.05,3000,EQ,NSE,NSE
63329,8151809,31843,CNOVAPETRO,CIL NOVA PETROCHEM,0.0,,0.0,0.05,1,EQ,NSE,NSE
63330,5215745,20374,COALINDIA,COAL INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63331,5506049,21508,COCHINSHIP,COCHIN SHIPYARD,0.0,,0.0,0.05,1,EQ,NSE,NSE
63332,2955009,11543,COFORGE,COFORGE,0.0,,0.0,0.05,1,EQ,NSE,NSE
63333,3876097,15141,COLPAL,COLGATE PALMOLIVE.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63334,4513793,17632,COMPINFO,COMPUAGE INFOCOM,0.0,,0.0,0.05,1,EQ,NSE,NSE
63335,7971329,31138,COMPUSOFT,COMPUCOM SOFTWARE,0.0,,0.0,0.05,1,EQ,NSE,NSE
63336,1215745,4749,CONCOR,CONTAINER CORP OF IND,0.0,,0.0,0.05,1,EQ,NSE,NSE
63337,2620929,10238,CONFIPET,CONFIDENCE PETRO IND.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63338,3003137,11731,CONSOFINVT,CONSO. FIN. & HOLD..,0.0,,0.0,0.05,1,EQ,NSE,NSE
63339,647937,2531,CONTI-SM,,0.0,,0.0,0.05,3333,EQ,NSE,NSE
63340,4474113,17477,CONTROLPR,CONTROL PRINT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63341,1025793,4007,CORALFINAC,CORAL INDIA FIN & HOUS LT,0.0,,0.0,0.05,1,EQ,NSE,NSE
63342,3909377,15271,CORDSCABLE,CORDS CABLE INDUS.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63343,189185,739,COROMANDEL,COROMANDEL INTERNTL.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63344,189953,742,COSMOFILMS,COSMO FILMS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63345,4348417,16986,COUNCODOS,COUNTRY CONDO'S,0.0,,0.0,0.05,1,EQ,NSE,NSE
63346,4063745,15874,COX&KINGS-BZ,,0.0,,0.0,0.05,1,EQ,NSE,NSE
63347,595969,2328,CPSEETF,CPSE ETF,0.0,,0.0,0.01,1,EQ,NSE,NSE
63348,2855681,11155,CREATIVE,CREATIVE PERI & DIST.,0.0,,0.0,0.05,1,EQ,NSE,NSE
63349,2403329,9388,CREATIVEYE-BE,CREATIVE EYE,0.0,,0.0,0.05,1,EQ,NSE,NSE
63350,1131777,4421,CREDITACC,CREDITACCESS GRAMEEN,0.0,,0.0,0.05,1,EQ,NSE,NSE
63351,3558401,13900,CREST,CREST VENTURES,0.0,,0.0,0.05,1,EQ,NSE,NSE
63352,193793,757,CRISIL,CRISIL,0.0,,0.0,0.05,1,EQ,NSE,NSE
63353,4376065,17094,CROMPTON,CROMPT GREA CON ELEC,0.0,,0.0,0.05,1,EQ,NSE,NSE
63354,4760577,18596,CROWN-SM,,0.0,,0.0,0.05,1000,EQ,NSE,NSE
63355,3831297,14966,CSBBANK,CSB BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE
63356,3639809,14218,CTE,CAMBRIDGE TECH ENTER,0.0,,0.0,0.05,1,EQ,NSE,NSE
63357,1459457,5701,CUB,CITY UNION BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE
63358,1040385,4064,CUBEXTUB,CUBEX TUBINGS,0.0,,0.0,0.05,1,EQ,NSE,NSE
63359,486657,1901,CUMMINSIND,CUMMINS INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE
63360,4741121,18520,CUPID,CUPID,0.0,,0.0,0.05,1,EQ,NSE,NSE
63361,1549057,6051,CYBERTECH,CYBERTECH SYSTEMS & SOFTW,0.0,,0.0,0.05,1,EQ,NSE,NSE
63362,1471489,5748,CYIENT,CYIENT,0.0,,0.0,0.05,1,EQ,NSE,NSE
