security,datetime,open,high,low,close,candle_1,candle_2,candle_3,anomaly,level
EUR_USD,2020-01-02,1.12124,1.12247,1.11636,1.11728,,,,,
EUR_USD,2020-01-03,1.11728,1.11799,1.11249,1.11592,,,,,
EUR_USD,2020-01-06,1.11665,1.12056,1.11573,1.11972,0.0,0.0,0.0,,
EUR_USD,2020-01-07,1.1195,1.11974,1.11336,1.11512,0.0,0.0,0.0,,
EUR_USD,2020-01-08,1.11506,1.11684,1.11016,1.11038,0.0,0.0,0.0,,
EUR_USD,2020-01-09,1.11052,1.11204,1.10926,1.11062,1.0,2.0,0.0,,0.0
EUR_USD,2020-01-10,1.11051,1.1129,1.10851,1.11205,0.0,0.0,0.0,,0.0
EUR_USD,2020-01-13,1.11205,1.11472,1.11126,1.11346,0.0,0.0,0.0,,0.0
EUR_USD,2020-01-14,1.11351,1.11446,1.11044,1.11274,5.0,0.0,0.0,,0.0
EUR_USD,2020-01-15,1.1128,1.11636,1.11184,1.11499,0.0,0.0,0.0,0.011175810074256469,0.0
EUR_USD,2020-01-16,1.11496,1.11726,1.11279,1.11364,0.0,-3.0,0.0,0.12619505571460746,0.0
EUR_USD,2020-01-17,1.1137,1.11426,1.10864,1.10902,10.0,0.0,0.0,0.4789140929677382,-1.0
EUR_USD,2020-01-20,1.1093,1.11026,1.10766,1.1095,5.0,2.0,0.0,0.7794543392569127,-1.0
EUR_USD,2020-01-21,1.10945,1.1118,1.10811,1.10822,0.0,0.0,0.0,0.25078378452337663,0.0
EUR_USD,2020-01-22,1.10867,1.10984,1.10702,1.10936,3.0,3.0,0.0,0.41109833011600433,1.0
EUR_USD,2020-01-23,1.10932,1.11088,1.10364,1.10563,0.0,0.0,0.0,0.28396506445898967,0.0
EUR_USD,2020-01-24,1.10558,1.10618,1.10198,1.10252,0.0,6.0,0.0,0.26460282952788394,0.0
EUR_USD,2020-01-27,1.10342,1.10376,1.10098,1.10188,0.0,6.0,-3.0,0.2557765071777267,-1.0
EUR_USD,2020-01-28,1.10188,1.10254,1.0998,1.10221,3.0,3.0,0.0,0.7996812462132978,0.0
EUR_USD,2020-01-29,1.10223,1.10277,1.09924,1.10111,0.0,-1.0,0.0,0.33565240882175285,-1.0
EUR_USD,2020-01-30,1.10106,1.10394,1.10069,1.10316,0.0,1.0,0.0,0.154350211614012,0.0
EUR_USD,2020-01-31,1.1032,1.10956,1.10171,1.10945,10.0,0.0,0.0,1.0978372870670436,1.0
EUR_USD,2020-02-03,1.10956,1.10956,1.10355,1.10607,0.0,0.0,0.0,0.221619248212278,0.0
EUR_USD,2020-02-04,1.10602,1.10642,1.1033,1.10444,0.0,6.0,0.0,0.36076100824278334,0.0
EUR_USD,2020-02-05,1.10446,1.1048,1.09937,1.09987,2.0,0.0,0.0,0.5134963499980366,-1.0
EUR_USD,2020-02-06,1.09984,1.1014,1.09646,1.09816,4.0,6.0,0.0,0.3715058861708251,-1.0
EUR_USD,2020-02-07,1.09822,1.0985,1.0942,1.09463,2.0,0.0,-3.0,0.21601876899581135,0.0
EUR_USD,2020-02-10,1.0945,1.09576,1.09078,1.09107,0.0,6.0,-3.0,0.13809242725250637,0.0
EUR_USD,2020-02-11,1.09107,1.09249,1.08914,1.09153,5.0,2.0,0.0,0.7824756641597093,0.0
EUR_USD,2020-02-12,1.09154,1.09256,1.08654,1.08734,0.0,-1.0,0.0,0.4891694679608341,-1.0
EUR_USD,2020-02-13,1.08737,1.08889,1.0834,1.084,0.0,6.0,0.0,0.15386529771613439,0.0
EUR_USD,2020-02-14,1.08408,1.08612,1.08273,1.0831,-3.0,6.0,0.0,0.5613419751601509,0.0
EUR_USD,2020-02-17,1.0842,1.08511,1.08293,1.08351,4.0,6.0,0.0,0.4075998107331175,0.0
EUR_USD,2020-02-18,1.08355,1.08375,1.07855,1.07916,0.0,0.0,0.0,0.5486490341561336,-1.0
EUR_USD,2020-02-19,1.07923,1.08118,1.07822,1.08064,0.0,3.0,0.0,0.3798722739139903,0.0
EUR_USD,2020-02-20,1.08056,1.08212,1.0778,1.07848,0.0,0.0,0.0,0.07577731725828779,-1.0
EUR_USD,2020-02-21,1.07848,1.08636,1.07848,1.08474,10.0,1.0,0.0,0.7794117706767534,0.0
EUR_USD,2020-02-24,1.08149,1.08721,1.08051,1.08542,0.0,0.0,0.0,0.11862190441325147,0.0
EUR_USD,2020-02-25,1.08528,1.08904,1.08302,1.08813,0.0,0.0,3.0,0.05145999847415271,1.0
EUR_USD,2020-02-26,1.08813,1.0909,1.08551,1.08804,1.0,-2.0,0.0,0.5814381168509101,1.0
EUR_USD,2020-02-27,1.08833,1.10066,1.08791,1.1001,2.5,0.0,0.0,0.7851886991981845,1.0
EUR_USD,2020-02-28,1.09998,1.10532,1.0951,1.10277,4.0,0.0,0.0,0.09124718318272215,0.0
EUR_USD,2020-03-02,1.10446,1.11848,1.10364,1.11327,0.0,0.0,3.0,0.28575429086468207,0.0
EUR_USD,2020-03-03,1.11334,1.12139,1.10954,1.11728,4.0,0.0,3.0,0.09226086123837629,0.0
EUR_USD,2020-03-04,1.11728,1.11876,1.10955,1.11356,0.0,-3.0,0.0,0.1655738516177015,0.0
EUR_USD,2020-03-05,1.11362,1.1245,1.11196,1.12362,0.0,0.0,0.0,0.7735031754327223,0.0
EUR_USD,2020-03-06,1.12399,1.13548,1.12116,1.12839,0.0,0.0,0.0,0.08234739936693261,0.0
EUR_USD,2020-03-09,1.1351,1.14963,1.13356,1.144,0.0,0.0,3.0,0.20167264009000968,1.0
EUR_USD,2020-03-10,1.144,1.14584,1.12749,1.12808,0.0,-1.0,0.0,0.4636959855262969,0.0
EUR_USD,2020-03-11,1.12808,1.13667,1.12575,1.12697,5.0,6.0,0.0,0.7176038940624122,0.0
