security,datetime,price,MovingAverageSimple_0,MovingAverageSimple_1,MovingAverageSimple_2
EUR_USD,2019-01-01 22:00:00,1.1325,,,
EUR_USD,2019-01-02 22:00:00,1.13091,,,
EUR_USD,2019-01-03 22:00:00,1.13458,,,
EUR_USD,2019-01-06 22:00:00,1.13972,,,
EUR_USD,2019-01-07 22:00:00,1.14219,,,
EUR_USD,2019-01-08 22:00:00,1.14364,,,
EUR_USD,2019-01-09 22:00:00,1.14846,,,
EUR_USD,2019-01-10 22:00:00,1.14582,,,
EUR_USD,2019-01-13 22:00:00,1.14508,,,
EUR_USD,2019-01-14 22:00:00,1.13822,1.140112,,
EUR_USD,2019-01-15 22:00:00,1.13779,1.140641,,
EUR_USD,2019-01-16 22:00:00,1.13702,1.1412520000000002,,
EUR_USD,2019-01-17 22:00:00,1.13532,1.141326,,
EUR_USD,2019-01-20 22:00:00,1.13569,1.1409230000000001,,
EUR_USD,2019-01-21 22:00:00,1.1336,1.1400640000000002,,
EUR_USD,2019-01-22 22:00:00,1.13508,1.139208,,
EUR_USD,2019-01-23 22:00:00,1.12894,1.137256,,
EUR_USD,2019-01-24 22:00:00,1.13004,1.135678,,
EUR_USD,2019-01-27 22:00:00,1.13904,1.135074,,
EUR_USD,2019-01-28 22:00:00,1.14113,1.135365,1.1377385,
EUR_USD,2019-01-29 22:00:00,1.14063,1.1356490000000001,1.1381450000000002,
EUR_USD,2019-01-30 22:00:00,1.1436,1.136307,1.1387795,
EUR_USD,2019-01-31 22:00:00,1.14345,1.13712,1.1392229999999999,
EUR_USD,2019-02-03 22:00:00,1.14244,1.1377950000000001,1.139359,
EUR_USD,2019-02-04 22:00:00,1.14011,1.138446,1.139255,
EUR_USD,2019-02-05 22:00:00,1.13608,1.138546,1.1388770000000001,
EUR_USD,2019-02-06 22:00:00,1.13247,1.1388989999999999,1.1380775,
EUR_USD,2019-02-07 22:00:00,1.13212,1.1391069999999999,1.1373925,
EUR_USD,2019-02-10 22:00:00,1.12674,1.137877,1.1364755,
EUR_USD,2019-02-11 22:00:00,1.12578,1.136342,1.1358535,
EUR_USD,2019-02-12 22:00:00,1.12602,1.134881,1.135265,
EUR_USD,2019-02-13 22:00:00,1.12493,1.133014,1.1346605,
EUR_USD,2019-02-14 22:00:00,1.12343,1.131012,1.134066,
EUR_USD,2019-02-17 22:00:00,1.12896,1.129664,1.1337294999999998,
EUR_USD,2019-02-18 22:00:00,1.12756,1.128409,1.1334275,
EUR_USD,2019-02-19 22:00:00,1.1325,1.128051,1.1332985,
EUR_USD,2019-02-20 22:00:00,1.13204,1.128008,1.1334535000000001,
EUR_USD,2019-02-21 22:00:00,1.13162,1.127958,1.1335324999999998,
EUR_USD,2019-02-24 22:00:00,1.13286,1.12857,1.1332235000000002,
EUR_USD,2019-02-25 22:00:00,1.13453,1.129445,1.1328935,
EUR_USD,2019-02-26 22:00:00,1.13624,1.1304669999999999,1.132674,
EUR_USD,2019-02-27 22:00:00,1.13596,1.13157,1.132292,
EUR_USD,2019-02-28 22:00:00,1.13532,1.132759,1.1318854999999999,
EUR_USD,2019-03-03 22:00:00,1.13092,1.132955,1.1313095,
EUR_USD,2019-03-04 22:00:00,1.12896,1.133095,1.130752,
EUR_USD,2019-03-05 22:00:00,1.12854,1.1326990000000001,1.1303750000000001,
EUR_USD,2019-03-06 22:00:00,1.11764,1.131259,1.1296335,
EUR_USD,2019-03-07 22:00:00,1.11854,1.129951,1.1289545,
EUR_USD,2019-03-10 21:00:00,1.12218,1.128883,1.1287265,
EUR_USD,2019-03-11 21:00:00,1.12452,1.127882,1.1286635,1.1338292
EUR_USD,2019-03-12 21:00:00,1.12776,1.127034,1.1287505,1.1337344
EUR_USD,2019-03-13 21:00:00,1.12942,1.12638,1.128975,1.1337046000000002
EUR_USD,2019-03-14 21:00:00,1.12998,1.125846,1.1293025,1.1336126
EUR_USD,2019-03-17 21:00:00,1.13194,1.125948,1.1294515,1.1334570000000002
EUR_USD,2019-03-18 21:00:00,1.13338,1.12639,1.1297425,1.1332808
EUR_USD,2019-03-19 21:00:00,1.13358,1.126894,1.1297964999999999,1.1330796
EUR_USD,2019-03-20 21:00:00,1.13428,1.128558,1.1299085,1.132796
EUR_USD,2019-03-21 21:00:00,1.12736,1.12944,1.1296955,1.1324268000000002
EUR_USD,2019-03-24 21:00:00,1.12892,1.130114,1.1294985,1.1321036
EUR_USD,2019-03-25 21:00:00,1.12634,1.130296,1.129089,1.131866
EUR_USD,2019-03-26 21:00:00,1.12423,1.129943,1.1284885,1.1315948
EUR_USD,2019-03-27 21:00:00,1.12137,1.129138,1.127759,1.1312818
EUR_USD,2019-03-28 21:00:00,1.121,1.12824,1.127043,1.1309954
EUR_USD,2019-03-31 21:00:00,1.12041,1.127087,1.1265174999999998,1.1306897999999999
EUR_USD,2019-04-01 21:00:00,1.11839,1.125588,1.1259890000000001,1.1303856
EUR_USD,2019-04-02 21:00:00,1.1201,1.12424,1.125567,1.130086
EUR_USD,2019-04-03 21:00:00,1.12061,1.122873,1.1257155,1.1299194
EUR_USD,2019-04-04 21:00:00,1.12103,1.1222400000000001,1.12584,1.1297392000000002
EUR_USD,2019-04-07 21:00:00,1.12144,1.121492,1.1258029999999999,1.1293872
EUR_USD,2019-04-08 21:00:00,1.12553,1.121411,1.1258535,1.1290752
EUR_USD,2019-04-09 21:00:00,1.12298,1.121286,1.1256145,1.1287222
EUR_USD,2019-04-10 21:00:00,1.125,1.1216490000000001,1.1253935,1.1283502
EUR_USD,2019-04-11 21:00:00,1.12536,1.122085,1.1251625,1.1279884
EUR_USD,2019-04-14 21:00:00,1.12976,1.12302,1.1250535,1.1277348
EUR_USD,2019-04-15 21:00:00,1.12796,1.123977,1.1247825,1.1274918
EUR_USD,2019-04-16 21:00:00,1.12788,1.124755,1.1244975,1.1273278
EUR_USD,2019-04-17 21:00:00,1.12263,1.124957,1.123915,1.1271309999999999
EUR_USD,2019-04-18 21:00:00,1.1229,1.1251440000000001,1.123692,1.1269466
EUR_USD,2019-04-21 21:00:00,1.1236,1.1253600000000001,1.123426,1.1268837999999999
EUR_USD,2019-04-22 21:00:00,1.11924,1.1247310000000001,1.123071,1.126753
EUR_USD,2019-04-23 21:00:00,1.11406,1.123839,1.1225625000000001,1.1265138000000001
EUR_USD,2019-04-24 21:00:00,1.11184,1.122523,1.122086,1.126252
EUR_USD,2019-04-25 21:00:00,1.11115,1.121102,1.1215935,1.1260064
EUR_USD,2019-04-28 21:00:00,1.11452,1.119578,1.121299,1.1257176
EUR_USD,2019-04-29 21:00:00,1.1176,1.1185420000000001,1.1212595,1.1255184
