===============================================================================
Id,EUR_USD,len,datetime,open,high,low,close,volume,openinterest,GBP_USD,len,datetime,open,high,low,close,volume,openinterest,St,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,EUR_USD,GBP_USD
18,EUR_USD,18,2019-01-24 22:00:00,1.14057,1.14176,1.13034,1.13004,,-1.0,GBP_USD,18,2019-01-24 22:00:00,1.31956,1.32179,1.30665,1.30566,,-1.0,St,18,737083.9166666666,Broker,18,100.0,100.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,EUR_USD,19,2019-01-27 22:00:00,1.14262,1.14439,1.14016,1.13904,,-1.0,GBP_USD,19,2019-01-27 22:00:00,1.31572,1.3213,1.31886,1.31372,,-1.0,St,19,737086.9166666666,Broker,19,100.0,100.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,EUR_USD,20,2019-01-28 22:00:00,1.14328,1.14502,1.14292,1.14113,,-1.0,GBP_USD,20,2019-01-28 22:00:00,1.30659,1.32002,1.31524,1.30556,,-1.0,St,20,737087.9166666666,Broker,20,100.0,100.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
21,EUR_USD,21,2019-01-29 22:00:00,1.148,1.15018,1.14318,1.14063,,-1.0,GBP_USD,21,2019-01-29 22:00:00,1.31154,1.31452,1.30638,1.30543,,-1.0,St,21,737088.9166666666,Broker,21,100.0,100.0,BuySell,21,,,BuySell,21,,,DataTrades,21,,
22,EUR_USD,22,2019-01-30 22:00:00,1.14474,1.15144,1.148,1.1436,,-1.0,GBP_USD,22,2019-01-30 22:00:00,1.31092,1.31606,1.31121,1.30979,,-1.0,St,22,737089.9166666666,Broker,22,100.0,100.0,BuySell,22,,,BuySell,22,,,DataTrades,22,,
23,EUR_USD,23,2019-01-31 22:00:00,1.14562,1.14884,1.14478,1.14345,,-1.0,GBP_USD,23,2019-01-31 22:00:00,1.30798,1.3115,1.31056,1.30437,,-1.0,St,23,737090.9166666666,Broker,23,100.0,100.0,BuySell,23,,,BuySell,23,,,DataTrades,23,,
24,EUR_USD,24,2019-02-03 22:00:00,1.14376,1.14603,1.14521,1.14244,,-1.0,GBP_USD,24,2019-02-03 22:00:00,1.30367,1.31033,1.30718,1.30295,,-1.0,St,24,737093.9166666666,Broker,24,100.0,100.0,BuySell,24,,,BuySell,24,,,DataTrades,24,,
25,EUR_USD,25,2019-02-04 22:00:00,1.14042,1.14404,1.14376,1.14011,,-1.0,GBP_USD,25,2019-02-04 22:00:00,1.29506,1.30538,1.30395,1.29249,,-1.0,St,25,737094.9166666666,Broker,25,100.0,100.0,BuySell,25,,,BuySell,25,,,DataTrades,25,,
26,EUR_USD,26,2019-02-05 22:00:00,1.13618,1.14096,1.1405,1.13608,,-1.0,GBP_USD,26,2019-02-05 22:00:00,1.29307,1.29792,1.29479,1.29255,,-1.0,St,26,737095.9166666666,Broker,26,100.0,100.0,BuySell,26,,,BuySell,26,,,DataTrades,26,,
27,EUR_USD,27,2019-02-06 22:00:00,1.13394,1.13689,1.13638,1.13247,,-1.0,GBP_USD,27,2019-02-06 22:00:00,1.29517,1.29966,1.29336,1.28544,,-1.0,St,27,737096.9166666666,Broker,27,100.0,100.0,BuySell,27,,,BuySell,27,,,DataTrades,27,,
28,EUR_USD,28,2019-02-07 22:00:00,1.13224,1.13509,1.13402,1.13212,,-1.0,GBP_USD,28,2019-02-07 22:00:00,1.29424,1.2976,1.29517,1.29216,,-1.0,St,28,737097.9166666666,Broker,28,100.0,100.0,BuySell,28,,,BuySell,28,,,DataTrades,28,,
29,EUR_USD,29,2019-02-10 22:00:00,1.12756,1.133,1.13202,1.12674,,-1.0,GBP_USD,29,2019-02-10 22:00:00,1.28607,1.29388,1.29308,1.28449,,-1.0,St,29,737100.9166666666,Broker,29,100.0,100.0,BuySell,29,,,BuySell,29,,,DataTrades,29,,
30,EUR_USD,30,2019-02-11 22:00:00,1.1326,1.13397,1.12767,1.12578,,-1.0,GBP_USD,30,2019-02-11 22:00:00,1.28938,1.29094,1.28577,1.28326,,-1.0,St,30,737101.9166666666,Broker,30,100.0,100.0,BuySell,30,,,BuySell,30,,,DataTrades,30,,
31,EUR_USD,31,2019-02-12 22:00:00,1.12607,1.13415,1.13264,1.12602,,-1.0,GBP_USD,31,2019-02-12 22:00:00,1.28459,1.29591,1.28938,1.28452,,-1.0,St,31,737102.9166666666,Broker,31,100.0,100.0,BuySell,31,,,BuySell,31,,,DataTrades,31,,
32,EUR_USD,32,2019-02-13 22:00:00,1.12954,1.13097,1.12602,1.12493,,-1.0,GBP_USD,32,2019-02-13 22:00:00,1.28008,1.2878,1.28476,1.27733,,-1.0,St,32,737103.9166666666,Broker,32,100.0,100.0,BuySell,32,,,BuySell,32,,,DataTrades,32,,
33,EUR_USD,33,2019-02-14 22:00:00,1.12946,1.13061,1.12948,1.12343,,-1.0,GBP_USD,33,2019-02-14 22:00:00,1.28892,1.28982,1.28043,1.27848,,-1.0,St,33,737104.9166666666,Broker,33,100.0,100.0,BuySell,33,,,BuySell,33,,,DataTrades,33,,
34,EUR_USD,34,2019-02-17 22:00:00,1.13106,1.13338,1.12926,1.12896,,-1.0,GBP_USD,34,2019-02-17 22:00:00,1.29244,1.29386,1.29104,1.28918,,-1.0,St,34,737107.9166666666,Broker,34,100.0,100.0,BuySell,34,,,BuySell,34,,,DataTrades,34,,
35,EUR_USD,35,2019-02-18 22:00:00,1.13406,1.13576,1.13118,1.12756,,-1.0,GBP_USD,35,2019-02-18 22:00:00,1.30634,1.3073,1.29255,1.28962,,-1.0,St,35,737108.9166666666,Broker,35,100.0,100.0,BuySell,35,,,BuySell,35,,,DataTrades,35,,
36,EUR_USD,36,2019-02-19 22:00:00,1.1337,1.13712,1.13419,1.1325,,-1.0,GBP_USD,36,2019-02-19 22:00:00,1.30501,1.31095,1.30625,1.30123,,-1.0,St,36,737109.9166666666,Broker,36,100.0,100.0,BuySell,36,,,BuySell,36,,,DataTrades,36,,
37,EUR_USD,37,2019-02-20 22:00:00,1.13343,1.13664,1.13378,1.13204,,-1.0,GBP_USD,37,2019-02-20 22:00:00,1.30395,1.30954,1.30506,1.30264,,-1.0,St,37,737110.9166666666,Broker,37,100.0,100.0,BuySell,37,,,BuySell,37,,,DataTrades,37,,
38,EUR_USD,38,2019-02-21 22:00:00,1.13342,1.13556,1.13385,1.13162,,-1.0,GBP_USD,38,2019-02-21 22:00:00,1.30562,1.30808,1.30412,1.29684,,-1.0,St,38,737111.9166666666,Broker,38,100.0,100.0,BuySell,38,,,BuySell,38,,,DataTrades,38,,
39,EUR_USD,39,2019-02-24 22:00:00,1.13574,1.13675,1.13359,1.13286,,-1.0,GBP_USD,39,2019-02-24 22:00:00,1.30963,1.31144,1.30748,1.30509,,-1.0,St,39,737114.9166666666,Broker,39,100.0,100.0,BuySell,39,,,BuySell,39,,,DataTrades,39,,
40,EUR_USD,40,2019-02-25 22:00:00,1.13892,1.14028,1.13616,1.13453,,-1.0,GBP_USD,40,2019-02-25 22:00:00,1.32521,1.32882,1.31169,1.31157,,-1.0,St,40,737115.9166666666,Broker,40,100.0,100.0,BuySell,40,,,BuySell,40,,,DataTrades,40,,
41,EUR_USD,41,2019-02-26 22:00:00,1.13695,1.14036,1.13894,1.13624,,-1.0,GBP_USD,41,2019-02-26 22:00:00,1.33095,1.33502,1.32526,1.32336,,-1.0,St,41,737116.9166666666,Broker,41,100.0,100.0,BuySell,41,,,BuySell,41,,,DataTrades,41,,
