sma1,sma2,fwd_returns
1.135649,1.1381450000000002,-0.0004381621725833007
1.296327,1.2829235,-9.957412910943653e-05
1.136307,1.1387795,0.002603824202414451
1.298984,1.2861355,0.0033398956665620094
1.1371200000000001,1.139223,-0.00013116474291696711
1.300852,1.288275,-0.004138067934554401
1.137795,1.139359,-0.0008832917923828898
1.3028389999999999,1.2898535,-0.0010886481596479314
1.1384459999999998,1.139255,-0.0020394944154615846
1.303536,1.290945,-0.00802793660539558
1.1385459999999998,1.138877,-0.003534746647253284
1.3033709999999998,1.2920185,4.642202260773942e-05
1.138899,1.1380774999999999,-0.0031775931272444158
1.301796,1.292649,-0.005500754322850354
1.139107,1.1373925,-0.00030905895961930163
1.300446,1.293709,0.00522778192681117
1.137877,1.1364755,-0.004752146415574421
1.297523,1.2938395,-0.005935797424467593
1.136342,1.1358535,-0.0008520155492836023
1.295293,1.2946625,-0.0009575784941882048
1.134881,1.135265,0.00021318552470295238
1.293202,1.2947645,0.0009818742889204923
1.133014,1.1346604999999998,-0.0009680112253779294
1.2899559999999999,1.29447,-0.005597421604957686
1.1310120000000001,1.134066,-0.0013334163014587785
1.2873670000000002,1.2941095,0.0009003155018671993
1.129664,1.1337294999999998,0.004922425073213388
1.28599,1.2944145,0.008369313559852376
1.128409,1.1334275,-0.0012400793650791941
1.285703,1.2946195,0.00034130222311867797
1.128051,1.1332985,0.004381141580048986
1.286571,1.294971,0.00900265194398342
1.128008,1.1334535,-0.0004061810154526446
1.288291,1.2950435,0.0010835901416352822
1.127958,1.1335324999999998,-0.00037101162503083707
1.288759,1.2946024999999999,-0.00445249646870971
1.12857,1.1332235000000002,0.0010957741998196546
1.2908190000000002,1.294171,0.006361617470158176
1.129445,1.1328935,0.0014741450841231352
1.29365,1.2944715,0.00496517481553016
1.130467,1.132674,0.00150723206966763
1.2975340000000002,1.295368,0.008989226652027726
1.13157,1.132292,-0.00024642681123687726
1.302339,1.2961475,0.001526417603675334
1.132759,1.1318855,-0.0005634001197225569
1.30621,1.2967885,-0.0061793598816943796
1.132955,1.1313095,-0.003875559313673671
1.30896,1.297475,-0.0003871878772234716
1.133095,1.130752,-0.0017331022530331364
1.310975,1.298339,-0.005248048121031523
1.132699,1.130375,-0.00037202380952383596
1.312094,1.2993325,0.002023255991510098
1.131259,1.1296335,-0.009658496818898632
1.312515,1.300403,-0.004244068209871887
1.129951,1.1289545,0.0008052682437993397
1.312735,1.300747,-0.005976202318552337
1.128883,1.1287265,0.0032542421370715946
1.311833,1.301326,-0.002286303731986683
