time,ticker,close,sma1,sma2
2019-01-28 22:00:00,EUR_USD,1.14113,1.135365,1.1377385
2019-01-28 22:00:00,GBP_USD,1.30556,1.294032,1.2805579999999999
2019-01-29 22:00:00,EUR_USD,1.14063,1.1356490000000001,1.1381450000000002
2019-01-29 22:00:00,GBP_USD,1.30543,1.296327,1.2829235
2019-01-30 22:00:00,EUR_USD,1.1436,1.136307,1.1387795
2019-01-30 22:00:00,GBP_USD,1.30979,1.2989840000000001,1.2861354999999999
2019-01-31 22:00:00,EUR_USD,1.14345,1.13712,1.1392229999999999
2019-01-31 22:00:00,GBP_USD,1.30437,1.3008520000000001,1.288275
2019-02-03 22:00:00,EUR_USD,1.14244,1.1377950000000001,1.139359
2019-02-03 22:00:00,GBP_USD,1.30295,1.302839,1.2898535
2019-02-04 22:00:00,EUR_USD,1.14011,1.138446,1.139255
2019-02-04 22:00:00,GBP_USD,1.29249,1.303536,1.290945
2019-02-05 22:00:00,EUR_USD,1.13608,1.138546,1.1388770000000001
2019-02-05 22:00:00,GBP_USD,1.29255,1.303371,1.2920185
2019-02-06 22:00:00,EUR_USD,1.13247,1.1388989999999999,1.1380775
2019-02-06 22:00:00,GBP_USD,1.28544,1.301796,1.292649
2019-02-07 22:00:00,EUR_USD,1.13212,1.1391069999999999,1.1373925
2019-02-07 22:00:00,GBP_USD,1.29216,1.300446,1.293709
2019-02-10 22:00:00,EUR_USD,1.12674,1.137877,1.1364755
2019-02-10 22:00:00,GBP_USD,1.28449,1.297523,1.2938395
2019-02-11 22:00:00,EUR_USD,1.12578,1.136342,1.1358535
2019-02-11 22:00:00,GBP_USD,1.28326,1.295293,1.2946625
2019-02-12 22:00:00,EUR_USD,1.12602,1.134881,1.135265
2019-02-12 22:00:00,GBP_USD,1.28452,1.293202,1.2947644999999999
2019-02-13 22:00:00,EUR_USD,1.12493,1.133014,1.1346605
2019-02-13 22:00:00,GBP_USD,1.27733,1.289956,1.29447
2019-02-14 22:00:00,EUR_USD,1.12343,1.131012,1.134066
2019-02-14 22:00:00,GBP_USD,1.27848,1.2873670000000002,1.2941095
2019-02-17 22:00:00,EUR_USD,1.12896,1.129664,1.1337294999999998
2019-02-17 22:00:00,GBP_USD,1.28918,1.28599,1.2944145
2019-02-18 22:00:00,EUR_USD,1.12756,1.128409,1.1334275
2019-02-18 22:00:00,GBP_USD,1.28962,1.285703,1.2946195
2019-02-19 22:00:00,EUR_USD,1.1325,1.128051,1.1332985
2019-02-19 22:00:00,GBP_USD,1.30123,1.286571,1.2949709999999999
2019-02-20 22:00:00,EUR_USD,1.13204,1.128008,1.1334535000000001
2019-02-20 22:00:00,GBP_USD,1.30264,1.288291,1.2950435
2019-02-21 22:00:00,EUR_USD,1.13162,1.127958,1.1335324999999998
2019-02-21 22:00:00,GBP_USD,1.29684,1.288759,1.2946025
2019-02-24 22:00:00,EUR_USD,1.13286,1.12857,1.1332235000000002
2019-02-24 22:00:00,GBP_USD,1.30509,1.2908190000000002,1.294171
2019-02-25 22:00:00,EUR_USD,1.13453,1.129445,1.1328935
2019-02-25 22:00:00,GBP_USD,1.31157,1.29365,1.2944715
