Strategy,Mode,Securities,Model ID,Account,Token,Strategy Parameters
simple_strategy_2,live,"EUR_USD,GBP_USD",074687ad169b4e85b3408dd65d0f6ff5,,,
simple_strategy_2,live,GBP_USD,074687ad169b4e85b3408dd65d0f6ff5,,,
