date,target,candle_1_pattern_name,candle_2_pattern_name,candle_3_pattern_name,level_nearest_support_duration,level_nearest_resistance_duration,anomaly_gap_signal,anomaly_vol_anomaly,anomaly_vol_anomaly_2,anomaly_wick_bear_signal,anomaly_wick_bull_signal
2018-01-02,Resistance,long,,,61,13.0,0.008986465944951854,1.2049582693593723,0.0,0.760492223652751,0.0
2018-03-14,Support,,BULLISH (Matching Low),,8,,0.0,0.027358311617767948,0.0,0.13293227958217307,0.0
2018-03-15,Support,DOJI_SPINOFF,BULLISH HARAMI CROSS,,9,2.0,0.0,0.6766248973341384,0.0,0.0,1.1056112438941932
2018-03-16,Support,short,BEARISH ENGULFING,,10,3.0,0.0,0.4113421994706887,0.0,0.0,0.0
2018-03-19,Support,,,,12,6.0,-0.22636391142424164,0.351834917324018,0.0,1.2950165339627042,0.0
2018-03-20,Support,DOJI,BULLISH (Matching Low),,13,7.0,-0.0,0.6558304200798553,0.0,0.0,1.0083837764779142
2018-03-21,Resistance,LONG_MARUBOZU,,,28,19.0,-0.0,1.0167541279017482,0.0,0.0,0.0
2018-03-22,Support,INV_HAMMER,BULLISH (Matching Low),,49,29.0,-1.1874219749304646,0.20377088397082035,1.0,0.0,1.6412271766248503
2018-03-23,Resistance,,,BEARISH Three Black Crows,177,30.0,-0.0,0.646663833507148,0.0,0.0,0.38039995028533247
2018-03-26,Resistance,,,,180,24.0,2.050142648994314,0.8717166733538159,0.0,1.6537098631243827,0.0
2018-03-27,Support,,BEARISH (Dark Cloud Cover),,4,25.0,0.0,0.6999686369560099,0.0,0.866610264696866,0.3889764319337596
2018-03-28,Support,DOJI_SPINOFF,BULLISH (Matching Low),,5,26.0,-0.06810211821004483,0.6297556176687177,0.0,0.5053090875332037,1.0225689179363686
2018-03-29,Support,DOJI,BULLISH (Matching Low),,6,27.0,0.23171141617261148,0.9564938107634834,0.0,0.021883753796318395,1.1465104071820853
2018-04-02,Support,short,,,10,31.0,0.0,0.3769380473634839,0.0,0.9974705297611514,0.0
2018-04-03,Support,DOJI_SPINOFF,,,11,32.0,0.05534749818389049,0.4741099501444038,0.0,0.9615452215772463,0.0
2018-04-04,Resistance,LONG_MARUBOZU,,,12,33.0,-1.538982881538802,1.5090890035011633,0.0,0.0,0.0
2018-04-05,Resistance,DOJI_SPINOFF,,,13,9.0,0.0,0.70876161541608,0.0,0.0,0.10714742616229786
2018-04-06,Resistance,,,BULLISH Abandoned Baby,14,10.0,-0.3048481165908758,0.1408690711805992,0.0,0.0,0.1339648953338226
2018-04-09,Resistance,INV_HAMMER,BULLISH HARAMI,,17,4.0,0.056192061707255346,0.7919143635991016,0.0,0.0,0.8511447167240979
2018-04-10,Resistance,DOJI_SPINOFF,,,18,5.0,0.7369878010698856,0.7422274730314816,1.0,0.6915890298000523,0.0
2018-04-11,Resistance,DOJI_SPINOFF,,,19,6.0,-0.0,0.6168360661291142,0.0,0.0,0.0017661421423415668
2018-04-12,Resistance,,,,20,7.0,0.0,0.3167081659263888,0.0,0.0,0.0
2018-04-13,Resistance,DOJI,,,8,17.0,0.0,0.838266232921735,0.0,0.16477480728941357,0.0
2018-04-16,Support,,,,20,34.0,0.0,0.1482178207162442,0.0,0.0,0.0
2018-04-17,Support,long,,,21,35.0,0.0,0.561077743519368,0.0,0.0,0.0
2018-04-18,Support,DOJI,BEARISH HARAMI CROSS,,22,36.0,-0.0,0.7732291574372554,0.0,0.5020979957905362,0.0
2018-04-19,Support,long,,,27,2.0,-1.2400826500567956,0.6526213836242708,0.0,0.0,0.0
2018-04-20,Support,long,,,28,3.0,-0.513834029050857,0.16760199656802274,0.0,0.0,0.0
2018-04-23,Support,,BULLISH (Matching Low),BEARISH Three Black Crows,31,6.0,0.0,0.09844760871822346,0.0,0.8902777761825585,0.0
2018-04-24,Resistance,,,BEARISH Three Black Crows,207,32.0,0.0,0.3879758160969532,0.0,1.1221740180069943,0.0
2018-04-25,Resistance,short,,,208,33.0,-0.0,0.3581802946528283,0.0,0.0,0.9417789734146131
